Name,Stat,Line,season_pct_over,L10_pct_over,L2W_pct_over,season_pct_under,L10_pct_under,L2W_pct_under
Spencer Dinwiddie,PTS+REBS,23.5,40.5,40.0,50.0,59.5,60.0,50.0
Spencer Dinwiddie,PTS+ASTS,28.5,28.4,50.0,50.0,71.6,50.0,50.0
Spencer Dinwiddie,REBS+ASTS,13.5,16.2,70.0,66.7,83.8,30.0,33.3
Spencer Dinwiddie,FTM,3.5,44.6,60.0,50.0,55.4,40.0,50.0
Clint Capela,PTS,11.5,58.3,60.0,71.4,41.7,40.0,28.6
Clint Capela,REB,11.0,45.0,40.0,57.1,48.3,60.0,42.9
Clint Capela,PTS+REBS+ASTS,23.5,50.0,50.0,71.4,50.0,50.0,28.6
Clint Capela,FANTASY,29.5,53.3,50.0,57.1,46.7,50.0,42.9
Clint Capela,PTS+ASTS,12.5,53.3,50.0,71.4,46.7,50.0,28.6
Clint Capela,REBS+ASTS,12.0,40.0,40.0,57.1,46.7,50.0,28.6
Nicolas Claxton,PTS,12.5,46.5,60.0,66.7,53.5,40.0,33.3
Nicolas Claxton,REB,9.5,43.7,40.0,33.3,56.3,60.0,66.7
Nicolas Claxton,PTS+REBS+ASTS,24.5,40.8,60.0,50.0,59.2,40.0,50.0
Nicolas Claxton,FANTASY,35.5,50.7,70.0,83.3,49.3,30.0,16.7
Nicolas Claxton,PTS+REBS,22.5,47.9,60.0,50.0,52.1,40.0,50.0
